timestamp_ms,ax,ay,az,gx,gy,gz,ir,red,emg_filtered,emg_envelope
16489,-4.3690,3.3880,-6.2850,0.0850,0.0060,0.1330,34095,31424,4,16
16509,-3.8560,4.4690,-7.0500,0.1170,-0.0560,0.0800,34084,31425,2,4
16529,-4.9540,4.3060,-8.0770,0.3550,-0.1530,-0.0650,34107,31444,3,9
16549,-4.7600,3.6100,-8.5740,0.3090,-0.1610,-0.1830,34107,31457,3,9
16569,-4.9110,3.3690,-8.2610,0.1590,-0.0790,-0.1800,34120,31471,4,16
16589,-5.0300,2.3330,-7.4930,-0.2210,-0.0340,-0.1650,34113,31461,4,16
16609,-5.5650,2.5490,-7.0470,-0.4880,0.0290,-0.0490,34094,31451,3,9
16629,-4.9880,4.3910,-7.8490,-0.1090,0.0470,-0.1310,34117,31482,5,25
16649,-4.0530,4.7610,-6.8990,0.1780,0.0420,-0.2900,34101,31456,3,9
16670,-4.6700,4.1720,-6.8020,0.3730,-0.0220,-0.3940,34079,31434,2,4
16690,-4.8930,3.1930,-7.4580,0.4270,-0.0380,-0.3820,34052,31422,3,9
16710,-4.8900,2.7870,-7.4850,0.3980,0.0330,-0.3520,34034,31407,4,16
16730,-4.4600,3.3090,-6.9340,0.1990,0.0840,-0.3380,34018,31415,4,16
16750,-4.8780,3.1590,-7.0860,0.0090,0.0790,-0.3880,34016,31409,4,16
16770,-5.4830,2.9640,-7.9880,-0.0670,0.1160,-0.4200,33994,31414,4,16
16790,-4.4930,3.1170,-8.3430,-0.0680,0.1670,-0.4880,33996,31413,3,9
16810,-4.0730,3.3840,-8.4110,-0.3370,0.1960,-0.5120,33977,31409,2,4
16830,-4.7360,3.9710,-8.7360,-0.6270,0.2340,-0.5660,33986,31410,2,4
16850,-6.9130,1.2080,-8.7280,-1.0540,0.5310,-0.4120,33937,31378,4,16
16871,-4.8910,4.0940,-9.7820,-1.6760,0.4980,-0.6170,33921,31404,4,16
16891,-3.9680,2.8010,-9.7290,-2.0010,0.7010,-0.3290,33924,31340,5,25
16911,-4.8450,4.1300,-6.7650,-2.9000,0.8530,-0.6630,33843,31323,3,9
16931,-4.9190,9.6020,-6.5670,-2.5800,0.8180,-0.1540,33848,31364,4,16
16951,-1.7860,10.2680,-7.4510,-1.1820,0.5580,-0.5250,33955,31370,4,16
16971,-4.5690,5.4480,-7.9660,-0.9400,0.8220,-0.1150,33801,31271,3,9
16991,-4.6850,5.0660,-6.2580,-2.1030,0.7940,-0.2020,33720,31254,3,9
17011,-1.7590,7.7580,-6.8590,-1.9000,0.6820,0.4110,33739,31268,3,9
17031,-6.4820,6.1290,-8.2720,-1.3320,0.6900,-0.0550,33735,31252,3,9
17051,-1.2590,4.9860,-7.6220,-2.4840,0.7590,0.4790,33736,31264,5,25
17072,-4.3800,5.9400,-4.8830,-2.2310,0.6570,0.2780,33750,31268,3,9
17092,-2.4530,7.1620,-4.5670,-0.9840,0.6650,0.2770,33777,31278,3,9
17112,-1.9140,6.8270,-5.1570,-0.4430,0.5640,0.1460,33784,31275,2,4
17132,-3.5130,6.6680,-6.1970,-0.5120,0.5120,0.0430,33782,31287,2,4
17152,-3.8690,8.0400,-6.3210,-0.1190,0.4710,-0.0190,33807,31311,3,9
17172,-2.6620,7.3830,-6.2840,0.4590,0.4290,-0.1350,33829,31312,3,9
17192,-3.7820,5.4780,-5.6840,0.2030,0.2860,-0.2160,33816,31305,4,16
17212,-5.6380,6.2550,-6.0300,-0.3410,0.2000,-0.1610,33823,31324,5,25
17232,-5.4920,5.7880,-5.8560,-0.7070,0.1240,-0.2170,33846,31325,4,16
17252,-5.3100,5.1340,-5.7340,-1.0980,0.1310,-0.2350,33843,31319,3,9
17273,-4.7760,5.6280,-5.6180,-1.3040,0.1210,-0.2070,33841,31322,3,9
17293,-4.0700,6.5550,-5.8650,-1.1560,0.1100,-0.3060,33850,31322,4,16
17313,-3.1330,6.1890,-6.4600,-1.3320,0.0620,-0.4340,33852,31328,4,16
17333,-3.9170,5.9100,-5.9910,-1.7210,0.1100,-0.4470,33878,31363,4,16
17353,-4.4800,6.9260,-6.0110,-2.1470,0.1490,-0.5360,33932,31395,4,16
17373,-5.5340,6.9380,-5.5190,-2.6510,0.2330,-0.5880,33950,31398,3,9
17393,-5.2880,8.3590,-3.0730,-2.8530,0.1970,-0.3380,33948,31397,4,16
17413,-4.0320,9.1160,-3.4150,-2.4870,0.2050,-0.4030,33946,31392,3,9
17433,-4.9190,8.2160,-4.3830,-2.1880,0.2110,-0.3280,33947,31396,4,16
17453,-0.7780,7.6430,-3.1050,-1.6830,0.5450,0.0340,33816,31286,2,4
17474,-3.5880,8.6950,-2.4360,-1.5800,0.0650,0.0210,33698,31226,4,16
17494,-7.0270,8.1490,-2.2600,-1.8060,-0.1430,0.1680,33692,31218,3,9
17514,-7.0700,9.5560,-2.7680,-1.3100,-0.2380,0.3590,33665,31176,1,1
17534,0.4860,8.5280,-4.9130,-1.1580,0.1350,0.6220,33616,31183,3,9
17554,-5.7690,10.0010,-2.3980,-0.9920,0.1770,0.1450,33674,31220,3,9
17574,-5.5890,9.0190,-2.0510,-0.1660,0.0750,0.2530,33737,31251,3,9
17594,-4.3710,8.6470,-2.6670,-0.0400,0.0460,0.3270,33757,31269,5,25
17614,-2.4520,7.0740,-2.2590,-0.3520,0.1280,0.7870,33796,31323,4,16
17634,-5.5670,7.6120,-2.5640,-0.3090,-0.1500,0.0180,33872,31328,3,9
17655,-2.2800,8.9030,-2.2120,-0.2270,-0.2940,0.2870,33848,31332,4,16
17675,-4.0730,7.9270,-2.6820,-0.3460,-0.2240,0.3240,33880,31367,3,9
17695,-3.7730,6.3480,-2.6420,-1.1390,-0.3570,0.1430,33951,31399,3,9
17715,-3.9420,7.7460,-2.4180,-1.7860,-0.5270,0.0990,33996,31418,3,9
17735,-3.5900,9.8820,-3.5520,-1.8840,-0.6400,-0.0340,34022,31438,4,16
17755,-4.0690,9.5610,-4.0220,-1.8360,-0.5980,-0.2140,34061,31472,5,25
17775,-4.9690,7.5600,-3.4700,-2.1960,-0.5550,-0.0680,34150,31540,3,9
17795,-4.6830,9.1460,-1.2580,-2.3550,-0.6530,0.0280,34238,31554,3,9
17815,-3.5890,13.5000,0.3990,-1.1950,-0.6420,0.0970,34216,31551,4,16
17835,-5.3090,9.6580,1.0940,-0.5640,-0.6490,0.0030,34372,31686,4,16
17856,-4.4750,9.9140,2.5860,-1.0710,-0.8220,0.3320,34506,31736,4,16
17876,-3.4400,9.1040,2.2590,-1.0580,-0.8360,0.4460,34559,31779,3,9
17896,-4.5410,6.8170,2.0220,-1.7180,-0.9090,0.6160,34645,31833,4,16
17916,-4.4960,7.4340,2.2180,-2.3820,-0.9300,0.6360,34705,31862,3,9
17936,-5.4520,7.5550,2.1690,-2.9060,-0.9510,0.2880,34751,31886,3,9
17956,-5.9830,10.1480,3.8670,-2.6130,-0.9220,0.2350,34799,31902,4,16
17976,-9.4250,8.0310,5.4030,-2.3570,-1.7250,-1.4640,34850,31988,4,16
17996,-7.6400,7.8070,4.2520,-0.4350,-0.3790,0.3960,35114,32104,3,9
18016,-5.7050,8.0820,2.4670,0.3690,-0.2540,0.8450,35177,32127,3,9
18036,-10.1230,11.0950,1.3920,2.6160,-0.5540,0.0040,35264,32160,5,25
18057,-2.0280,9.4570,4.8540,4.2600,-0.7800,0.1090,35251,32126,3,9
18077,-5.2760,11.5540,5.3380,6.5860,-0.2970,0.2760,35179,32083,3,9
18097,-4.9270,8.7690,3.4560,8.7310,-0.4830,0.6150,35030,31945,3,9
18117,0.4860,7.3070,2.6740,8.7310,-0.9980,0.0890,34674,31720,3,9
18137,-2.1390,7.6450,1.4140,8.6540,-1.2000,-0.0440,34404,31642,3,9
18157,-3.0320,7.8240,0.1530,8.4770,-1.0980,-0.0630,34339,31627,3,9
18177,-3.3880,7.3970,-2.1380,8.0610,-1.1020,0.0250,34345,31656,4,16
18197,-4.8420,5.4860,-5.2890,7.2060,-1.0190,0.1140,34422,31692,4,16
18217,-5.0920,3.1960,-6.2140,5.8080,-0.9030,0.3530,34456,31710,3,9
18237,-4.8760,0.0240,-6.1060,3.7630,-0.6360,0.6430,34520,31747,4,16
18258,-4.4580,0.2380,-6.6850,2.1730,-0.4790,0.7920,34561,31790,3,9
18278,-4.1910,3.2980,-7.7540,1.6120,-0.4410,0.6650,34656,31875,4,16
18298,-3.0250,5.1770,-9.2720,2.1010,-0.5410,0.4760,34759,31929,3,9
18318,-2.8710,5.6340,-9.7970,3.0420,-0.6010,0.2450,34798,31955,2,4
18338,-3.5530,4.5880,-8.8770,3.6170,-0.5450,0.1240,34806,31951,3,9
18358,-4.3360,2.3250,-8.4320,3.4310,-0.4910,0.1890,34774,31932,4,16
18378,-4.3480,0.3520,-8.4180,2.5370,-0.3260,0.2250,34708,31903,3,9
18398,-4.0620,1.0800,-8.4380,1.6130,-0.2430,0.3700,34690,31907,3,9
18418,-3.8220,1.6290,-9.3090,0.9740,-0.2680,0.4030,34684,31913,2,4
18438,-2.8870,1.8700,-9.1360,0.4230,-0.3380,0.3150,34650,31905,3,9
18459,-4.4760,4.0510,-9.0550,0.6860,-0.3730,0.1970,34683,31930,4,16
18479,-4.5710,3.5900,-9.5150,1.3280,-0.3550,0.1870,34711,31946,3,9
18499,-3.3640,0.9450,-8.9030,1.2280,-0.2730,0.1080,34683,31927,4,16
18519,-3.0050,1.3650,-8.3960,0.5450,-0.2390,0.0770,34638,31932,3,9
18539,-5.1460,3.0770,-9.1520,0.4160,-0.0910,0.0800,34666,31949,4,16
18559,-5.0690,2.4650,-9.0190,0.5050,0.0370,0.1110,34695,31949,4,16
18579,-3.1690,-0.6560,-8.6280,-0.3410,0.0270,0.0290,34652,31916,5,25
18599,-2.5950,-3.1840,-8.2160,-2.0650,-0.0430,-0.1980,34604,31896,4,16
18619,-4.6730,-1.6050,-7.5910,-3.2290,0.0950,-0.0690,34621,31925,3,9
18639,-4.6270,4.2170,-10.5670,-2.6140,-0.2620,-0.4640,34723,32077,3,9
18660,-4.6340,1.4310,-11.6090,-2.3870,-0.2670,-0.8800,35122,32435,2,4
