timestamp_ms,ax,ay,az,gx,gy,gz,ir,red,emg_filtered,emg_envelope
645204,8.9030,-4.0530,2.4380,-0.0270,0.0250,-0.0320,45224,36665,3,9
645224,8.9420,-3.8190,2.4340,-0.1150,0.0270,-0.0200,45230,36667,4,16
645244,9.1090,-3.7100,2.5070,-0.2070,0.0310,0.0260,45237,36672,3,9
645264,9.1540,-3.7390,2.5430,-0.2280,0.0440,0.0570,45239,36663,4,16
645284,9.0930,-3.9540,2.4550,-0.2180,0.0570,0.0840,45223,36662,6,36
645304,9.1250,-4.3260,2.3740,-0.3270,0.0680,0.1580,45191,36643,4,16
645325,9.0510,-4.2270,2.3270,-0.4420,0.0780,0.2100,45157,36628,4,16
645345,8.8780,-4.1300,2.3680,-0.5470,0.0940,0.2570,45127,36618,3,9
645365,8.7480,-4.2110,2.3710,-0.6430,0.1310,0.2910,45097,36606,3,9
645385,8.7740,-4.6410,1.9390,-0.8170,0.1530,0.2990,45080,36592,4,16
645405,9.0210,-5.2390,1.7010,-1.1060,0.1920,0.3210,45062,36587,4,16
645425,8.7220,-5.3070,1.7200,-1.4110,0.2760,0.3400,45031,36575,3,9
645445,8.8710,-5.1510,1.7990,-1.7000,0.3250,0.3440,45015,36572,5,25
645465,8.9120,-5.0430,1.1680,-1.6350,0.3830,0.2550,45004,36572,3,9
645485,9.0370,-4.8210,-0.2440,-0.9530,0.4170,0.1320,44977,36578,3,9
645505,7.8610,-2.4920,0.2330,1.1510,0.7330,-0.0430,44974,36612,5,25
645526,8.7520,-5.6530,1.4440,2.7250,0.9410,0.1810,45037,36681,3,9
645546,10.1500,-10.2850,2.0240,2.9610,0.9680,0.5160,45188,36773,2,4
645566,10.2900,-12.4870,2.0230,2.4580,0.6950,0.9330,45430,36871,5,25
645586,9.5040,-12.3880,1.5240,1.6100,0.2070,1.4380,45614,36930,4,16
645606,8.0880,-10.0390,1.5920,1.1140,-0.2400,1.8990,45701,36958,5,25
645626,6.9500,-8.3340,1.5750,1.2070,-0.5460,2.1670,45732,36967,3,9
645646,6.0020,-7.3940,1.7630,1.4760,-0.7510,2.2570,45715,36952,3,9
645666,5.4460,-7.0700,2.2370,1.6650,-0.8500,2.1900,45670,36921,4,16
645686,5.1760,-7.1410,2.6260,1.4470,-0.8570,2.1070,45611,36885,5,25
645706,5.0960,-6.7150,2.7460,-0.0590,-1.0630,1.8940,45571,36854,4,16
645727,5.1690,-5.3450,2.9400,-1.1870,-1.1540,1.3810,45547,36827,5,25
645747,4.8790,-2.9210,3.5180,-1.6480,-1.0850,0.6980,45439,36756,3,9
645767,4.5730,-1.4640,3.0810,-1.3440,-0.9660,0.0670,45214,36661,5,25
645787,4.9520,-1.3360,2.9590,-0.7930,-0.7440,-0.4390,44944,36547,4,16
645807,6.4260,-2.0520,3.3570,-0.2580,-0.5610,-0.8320,44703,36455,4,16
645827,8.1020,-3.3700,3.8340,-0.1210,-0.4430,-1.0680,44543,36400,4,16
