timestamp_ms,ax,ay,az,gx,gy,gz,ir,red,emg_filtered,emg_envelope
43698,1.9600,-9.0370,-4.7080,-0.1090,0.2670,0.0240,30321,32149,3,9
43718,2.4350,-8.9600,-4.3110,-0.0980,0.2650,0.0170,30356,32172,2,4
43739,2.3750,-8.7360,-4.3600,0.0190,0.2520,0.0660,30360,32174,4,16
43759,2.3570,-8.7920,-4.6880,0.0010,0.1660,0.1340,30356,32171,4,16
43779,2.2550,-9.1650,-4.5870,-0.0450,0.0600,0.1790,30338,32151,4,16
43799,1.9210,-9.1300,-4.3800,0.0400,0.0370,0.1300,30317,32124,4,16
43819,1.7260,-9.1300,-3.9780,0.1030,0.0610,0.1450,30299,32111,4,16
43839,1.5800,-8.8370,-3.7240,0.1280,0.0990,0.1030,30283,32103,3,9
43859,1.5410,-8.8600,-3.7660,0.0640,0.0900,0.0960,30267,32096,3,9
43879,1.6260,-8.8020,-3.7550,-0.0000,0.0690,0.1080,30261,32091,4,16
43899,1.9480,-9.1490,-3.7770,-0.0480,0.0610,0.1170,30248,32089,4,16
43920,1.9510,-9.1030,-3.7890,-0.0140,0.0560,0.1030,30235,32081,5,25
43940,1.8610,-9.1630,-3.6830,-0.0110,0.0470,0.0880,30224,32079,3,9
43960,1.6460,-9.0170,-3.6480,0.0190,0.0350,0.0440,30216,32075,4,16
43980,1.5220,-8.9020,-3.5650,0.0490,0.0210,0.0140,30213,32071,5,25
44000,1.4380,-8.8740,-3.4780,0.0860,-0.0010,0.0030,30210,32071,4,16
44020,1.4210,-8.9530,-3.5310,0.1040,-0.0030,-0.0010,30211,32071,4,16
44040,1.3520,-8.8790,-3.6100,0.1000,-0.0000,-0.0030,30209,32069,4,16
44060,1.3050,-8.8990,-3.6560,0.0970,0.0010,0.0020,30207,32076,4,16
44080,1.2760,-8.8510,-3.6140,0.0700,0.0090,-0.0050,30208,32078,4,16
44100,1.3070,-8.8370,-3.7150,-0.0000,0.0060,-0.0110,30215,32081,4,16
44121,1.4080,-8.9330,-3.7190,-0.0180,0.0080,-0.0080,30214,32084,4,16
44141,1.4470,-8.9170,-3.7000,-0.0230,0.0070,-0.0080,30216,32082,4,16
44161,1.4400,-8.9580,-3.6240,-0.0250,0.0000,-0.0130,30222,32088,4,16
44181,1.3670,-8.8240,-3.4800,-0.0310,-0.0030,-0.0190,30229,32093,3,9
44201,1.2390,-8.8880,-3.4490,-0.0540,-0.0060,-0.0130,30228,32095,4,16
44221,1.0440,-8.9540,-3.5190,-0.1190,-0.0110,0.0020,30232,32094,4,16
44241,0.9390,-8.9210,-3.4430,-0.1450,-0.0020,0.0050,30233,32101,3,9
44261,0.8770,-8.8560,-3.2940,-0.1390,0.0130,0.0090,30238,32101,4,16
44281,0.8070,-8.9730,-3.2590,-0.1430,0.0300,0.0100,30240,32105,4,16
44301,0.6620,-8.8000,-3.3720,-0.1310,0.0640,-0.0110,30248,32111,3,9
44322,0.6790,-8.9770,-3.3910,-0.1200,0.0680,-0.0250,30255,32114,4,16
44342,0.6190,-8.8740,-3.3550,-0.1060,0.0630,-0.0540,30260,32109,3,9
44362,0.6570,-8.8430,-3.4020,-0.1400,0.0440,-0.0550,30259,32116,4,16
44382,0.7450,-8.5990,-3.3280,-0.1820,0.0130,-0.0640,30261,32113,4,16
44402,0.8330,-8.8980,-3.4570,-0.2210,-0.0260,-0.0570,30262,32119,4,16
44422,0.8540,-9.0210,-3.6830,-0.2530,-0.0510,-0.0690,30262,32117,4,16
44442,0.9040,-9.0130,-3.9180,-0.2160,-0.0600,-0.0960,30260,32114,4,16
44462,0.9600,-9.3070,-4.2150,-0.1720,-0.0570,-0.1160,30257,32118,3,9
44482,1.0790,-9.4940,-4.3530,-0.1850,-0.0290,-0.1490,30249,32108,4,16
44503,1.1250,-9.3830,-4.3020,-0.1800,-0.0240,-0.1470,30245,32100,4,16
44523,1.0920,-9.1460,-4.1380,-0.1690,-0.0630,-0.1180,30237,32092,4,16
44543,0.8580,-8.9580,-3.7410,-0.0520,-0.1220,-0.0980,30224,32080,4,16
44563,0.4200,-8.7300,-3.3180,0.1330,-0.1720,-0.0990,30206,32053,4,16
44583,0.3170,-9.1220,-3.2000,0.2160,-0.2090,-0.1170,30193,32037,3,9
44603,0.3380,-9.6230,-3.7090,0.2200,-0.2240,-0.1470,30195,32034,3,9
44623,0.3910,-9.7840,-3.8820,0.1870,-0.2010,-0.1220,30209,32047,4,16
44643,0.5110,-9.1710,-3.3880,0.5130,-0.1880,-0.1630,30223,32054,3,9
44663,0.8160,-9.2540,-3.3470,0.8340,-0.1730,-0.2090,30255,32072,4,16
44683,0.4870,-8.2940,-2.5090,1.3160,-0.1210,-0.2930,30232,32018,3,9
44704,0.6640,-8.8770,-3.0290,1.2710,-0.0590,-0.3200,30202,31999,4,16
44724,1.1260,-9.2720,-3.1720,1.1200,-0.0590,-0.3410,30186,31977,3,9
44744,1.9690,-9.2190,-3.2700,1.0840,-0.0600,-0.3240,30179,31956,3,9
44764,2.2270,-9.3490,-3.1330,1.2080,-0.0380,-0.3050,30145,31936,4,16
44784,2.6410,-10.2740,-3.4790,0.9520,0.0040,-0.2450,30144,31943,3,9
44804,2.9470,-9.9950,-3.7400,0.4010,0.0260,-0.2590,30149,31935,3,9
