timestamp_ms,ax,ay,az,gx,gy,gz,ir,red,emg_filtered,emg_envelope
26772,-0.6690,-9.6570,0.5540,-0.1850,-0.3740,0.1190,30368,32164,4,16
26792,-0.6250,-9.8020,0.4450,-0.3660,-0.3920,0.1180,30361,32157,3,9
26812,-0.5990,-10.0290,0.5270,-0.5240,-0.4150,0.1580,30360,32154,4,16
26832,-0.7670,-10.0440,0.5450,-0.4700,-0.4140,0.1820,30350,32150,5,25
26852,-1.0460,-10.4140,0.2360,-0.4780,-0.4280,0.1680,30346,32158,4,16
26872,-0.6110,-11.6610,-0.3160,-0.6100,-0.4240,0.0330,30356,32159,3,9
26893,-0.2690,-12.0020,-0.7280,-0.7030,-0.4360,-0.0080,30353,32151,3,9
26913,-0.0750,-11.7180,-1.0320,-0.6930,-0.4680,-0.0090,30341,32139,4,16
26933,0.0530,-11.4560,-1.2410,-0.5980,-0.5210,0.0150,30320,32126,4,16
26953,0.0510,-11.2220,-1.5950,-0.5190,-0.5790,0.0060,30320,32120,4,16
26973,0.1330,-10.7580,-1.6300,-0.4000,-0.6340,-0.0330,30316,32112,2,4
26993,0.2840,-10.1550,-1.7250,-0.2750,-0.7040,-0.0160,30308,32112,5,25
27013,0.1830,-9.4750,-1.9140,-0.2200,-0.7860,0.0230,30310,32114,3,9
27033,-0.0250,-9.0540,-2.1000,-0.2210,-0.8660,0.0610,30307,32111,3,9
27053,-0.3160,-8.7480,-2.1280,-0.1430,-0.9230,0.0490,30308,32109,4,16
27074,-0.3790,-8.8910,-2.0600,-0.0510,-0.9130,0.0190,30315,32118,3,9
27094,-0.3840,-9.2080,-2.1000,-0.0160,-0.8710,0.0130,30327,32132,0,0
27114,-0.3850,-9.5800,-2.3700,-0.0630,-0.8050,0.0190,30351,32153,3,9
27134,-0.3420,-9.5360,-2.3980,-0.0780,-0.7200,0.0150,30370,32172,1,1
27154,-0.3150,-9.3670,-2.1980,-0.0580,-0.6230,0.0270,30397,32190,4,16
27174,-0.3880,-9.0940,-2.0710,-0.0950,-0.5490,0.0410,30420,32203,1,1
27194,-0.5120,-8.8800,-1.9310,-0.1680,-0.5070,0.0420,30442,32218,6,36
27214,-0.7020,-8.6010,-1.8410,-0.2030,-0.4830,0.0200,30461,32236,3,9
27234,-0.8970,-8.5480,-1.8410,-0.2250,-0.4840,-0.0080,30481,32253,4,16
27254,-1.0930,-8.7080,-1.6760,-0.2050,-0.4920,-0.0510,30496,32261,4,16
27275,-1.1670,-8.8430,-1.4930,-0.1640,-0.4830,-0.0920,30507,32270,2,4
27295,-1.2280,-8.9100,-1.2230,-0.1560,-0.4770,-0.1190,30513,32279,4,16
27315,-1.3590,-9.0200,-1.0880,-0.1500,-0.4780,-0.1200,30520,32281,4,16
27335,-1.4320,-9.0610,-1.0270,-0.0920,-0.4800,-0.1250,30515,32277,5,25
27355,-1.4770,-9.0420,-1.1370,-0.0300,-0.4840,-0.1330,30516,32281,4,16
27375,-1.4820,-9.1090,-1.0580,0.0080,-0.4880,-0.1440,30512,32277,4,16
27395,-1.4250,-9.2780,-0.9730,0.0720,-0.4790,-0.1610,30507,32279,3,9
27415,-1.3430,-9.4440,-0.9950,0.1610,-0.4500,-0.1770,30505,32274,4,16
27435,-1.2270,-9.6930,-1.1360,0.2480,-0.4080,-0.1860,30498,32276,3,9
27455,-0.9560,-10.1620,-1.3590,0.3170,-0.3340,-0.2050,30499,32276,4,16
27476,-0.8060,-10.5500,-1.5620,0.3050,-0.2800,-0.2280,30498,32272,4,16
27496,-0.5160,-10.9520,-1.7120,0.3020,-0.2230,-0.2680,30492,32266,4,16
27516,-0.3560,-11.3950,-1.6420,0.2950,-0.1570,-0.2740,30488,32264,3,9
27536,0.0430,-12.2330,-1.6040,0.1990,-0.0650,-0.3110,30490,32264,3,9
27556,0.3730,-12.6310,-1.6200,0.0060,0.0410,-0.3580,30488,32262,3,9
27576,0.6980,-12.6340,-1.5470,-0.2480,0.1150,-0.3610,30482,32265,3,9
27596,0.9330,-12.0110,-1.5040,-0.3840,0.1680,-0.3390,30477,32254,2,4
27616,0.9540,-11.1190,-1.1960,-0.4600,0.1690,-0.2620,30466,32252,3,9
27636,0.9210,-9.9860,-0.8140,-0.4460,0.1160,-0.1780,30461,32243,3,9
27656,0.7970,-8.4000,-0.3220,-0.3500,-0.0380,-0.0480,30441,32227,2,4
27677,0.7520,-8.4840,-0.0670,-0.3950,-0.1300,0.0440,30434,32213,4,16
27697,0.7780,-8.4990,-0.1640,-0.3900,-0.1970,0.0800,30418,32193,4,16
27717,1.0080,-8.9120,-0.3830,-0.3920,-0.1920,0.1760,30392,32169,2,4
27737,1.0190,-9.2540,-0.5490,-0.3890,-0.0950,0.2450,30370,32154,6,36
27757,1.0350,-9.2860,-0.7980,-0.3490,0.0410,0.2650,30367,32146,2,4
27777,0.9940,-9.1700,-1.2330,-0.2540,0.1650,0.2810,30361,32142,5,25
27797,0.7230,-8.7540,-1.4350,-0.2040,0.2190,0.2850,30352,32136,1,1
27817,0.4200,-8.4160,-1.3080,-0.2040,0.2000,0.2570,30352,32136,3,9
27837,0.0110,-8.2170,-1.1700,-0.4080,0.0560,0.1800,30367,32141,4,16
27859,-0.1960,-8.4180,-0.9960,-0.5430,-0.0440,0.1400,30375,32145,6,36
27879,-0.3730,-8.5370,-0.9860,-0.5300,-0.1210,0.0950,30373,32144,2,4
27899,-0.4110,-8.7410,-1.1720,-0.4230,-0.1910,0.0560,30387,32150,4,16
27919,-0.4840,-8.7080,-1.1850,-0.2530,-0.2520,0.0490,30402,32151,4,16
27939,-0.4690,-8.9770,-1.2010,-0.1760,-0.2970,0.0640,30405,32155,6,36
27959,-0.5350,-9.2360,-1.0460,-0.1270,-0.3220,0.0810,30415,32156,5,25
27979,-0.6090,-9.1810,-0.9590,-0.1000,-0.3340,0.0920,30432,32170,4,16
27999,-0.6490,-8.9810,-0.8890,-0.1600,-0.3460,0.1060,30447,32182,4,16
28019,-0.8040,-9.0880,-0.7540,-0.2180,-0.3440,0.1480,30461,32190,4,16
28040,-0.9310,-9.2450,-0.8820,-0.2430,-0.3480,0.1660,30467,32193,5,25
28060,-1.0400,-9.3190,-1.0070,-0.2640,-0.3640,0.1770,30471,32197,3,9
28080,-1.1250,-9.5900,-1.1710,-0.3260,-0.3730,0.1820,30472,32203,4,16
28100,-1.2210,-9.4500,-1.5670,-0.3420,-0.4090,0.1740,30476,32199,3,9
28120,-1.0330,-9.8500,-1.8700,-0.2800,-0.4380,0.1820,30470,32203,5,25
28140,-0.9620,-10.2620,-2.2420,-0.1630,-0.4530,0.1510,30469,32193,5,25
28160,-0.7520,-11.8320,-2.6590,-0.1820,-0.4270,0.0640,30469,32198,5,25
28180,-0.0680,-13.4770,-2.7960,-0.2570,-0.3250,-0.0690,30473,32203,1,1
28200,0.1800,-13.4550,-2.5040,-0.4100,-0.2180,-0.1160,30475,32217,4,16
28220,-0.0170,-12.2810,-2.6580,-0.5430,-0.2030,-0.0510,30493,32240,4,16
28241,-0.3780,-11.2850,-2.7690,-0.5280,-0.2700,-0.0190,30500,32247,5,25
28261,-0.5610,-10.2500,-2.7900,-0.4480,-0.3870,-0.0030,30513,32260,5,25
28281,-0.7890,-9.0300,-2.8000,-0.3890,-0.5570,0.0190,30522,32267,5,25
28301,-1.0300,-8.4730,-3.0120,-0.2560,-0.7640,-0.0150,30536,32272,3,9
28321,-1.0120,-8.6130,-3.3260,-0.1210,-0.9330,-0.0900,30547,32272,4,16
28341,-0.8790,-8.8670,-3.3930,0.1250,-1.0420,-0.1520,30543,32271,1,1
28361,-0.5850,-9.1840,-3.3840,0.3830,-1.0620,-0.1850,30543,32264,4,16
28381,-0.3160,-9.3720,-3.3780,0.5270,-1.0300,-0.1880,30534,32250,1,1
28401,-0.1360,-9.4260,-3.3630,0.5270,-0.9780,-0.1720,30525,32240,6,36
