Designator,Mid X,Mid Y,Layer,Rotation
C1,49.8375mm,4.9026mm,Top,0
C2,42.2722mm,4.0817mm,Top,0
C3,42.1961mm,5.7746mm,Top,0
C4,42.1961mm,7.2293mm,Top,0
C5,32.1310mm,14.9674mm,Top,90
C6,35.1790mm,14.9673mm,Top,90
C7,38.1000mm,14.9860mm,Top,270
C8,49.8375mm,6.4860mm,Top,180
C9,27.5844mm,4.1170mm,Top,0
C10,25.6605mm,10.3556mm,Top,180
C11,22.4893mm,12.1727mm,Top,180
C12,22.4891mm,10.3557mm,Top,180
C13,47.1290mm,43.0530mm,Top,90
C14,52.7048mm,46.2450mm,Top,180
C15,52.7050mm,47.4696mm,Top,180
C16,42.1664mm,35.8139mm,Top,270
C17,52.7050mm,44.7040mm,Top,0
C18,43.8150mm,48.6210mm,Top,180
C19,60.5790mm,34.1630mm,Top,180
C20,43.8148mm,47.3710mm,Top,0
C21,54.5536mm,26.6700mm,Top,180
C22,55.8089mm,22.0700mm,Top,0
C23,49.1441mm,17.1414mm,Top,90
C24,47.5486mm,17.1414mm,Top,270
C25,49.1443mm,13.6105mm,Top,90
C26,55.6814mm,11.0490mm,Top,180
C27,55.6814mm,8.5090mm,Top,180
C28,55.1734mm,12.9792mm,Top,0
C30,8.2939mm,23.1266mm,Top,0
C31,8.2939mm,21.4527mm,Top,180
C32,8.2939mm,24.6100mm,Top,180
C33,36.8905mm,49.2890mm,Top,90
C34,11.4201mm,24.6099mm,Top,180
C38,32.0195mm,20.7366mm,Top,270
C39,38.2580mm,22.4065mm,Top,90
C40,40.6588mm,25.7884mm,Top,90
C41,42.4757mm,25.7883mm,Top,90
C42,43.3572mm,52.1105mm,Top,90
C43,47.7090mm,52.3317mm,Top,0
C44,44.4971mm,52.1108mm,Top,270
D1,52.9476mm,34.1977mm,Top,0
D2,65.1919mm,26.6700mm,Top,180
D3,15.3670mm,59.9440mm,Top,0
D4,38.2580mm,26.6699mm,Top,270
D5,56.6560mm,42.6720mm,Top,180
D6,56.6560mm,45.2120mm,Top,180
D7,43.9018mm,59.4193mm,Top,270
D8,41.9018mm,59.4190mm,Top,270
F1,65.1944mm,22.0700mm,Top,180
J1,65.9130mm,46.4620mm,Top,90
J2,66.0400mm,14.2240mm,Top,90
J3,16.4133mm,49.6124mm,Top,180
J4,15.7480mm,66.0400mm,Top,180
J5,42.9060mm,66.0400mm,Top,180
J6,27.9400mm,66.0400mm,Top,180
L1,35.1790mm,6.4770mm,Top,90
L2,21.6510mm,5.4976mm,Top,90
L3,33.4001mm,26.6700mm,Top,0
LED1,16.3816mm,23.2254mm,Top,0
Q1,45.8101mm,39.0200mm,Top,0
Q2,55.6814mm,15.9150mm,Top,90
Q3,9.5410mm,59.9440mm,Top,270
R1,43.3612mm,9.2685mm,Top,90
R2,44.9038mm,9.2685mm,Top,270
R3,53.4101mm,39.0389mm,Top,0
R4,44.8717mm,35.3821mm,Top,90
R5,43.4340mm,35.8139mm,Top,90
R6,49.6060mm,43.0530mm,Top,270
R7,11.4199mm,23.2252mm,Top,0
R8,13.5300mm,23.2254mm,Top,180
R9,6.4271mm,60.8915mm,Top,0
R10,6.8081mm,59.2416mm,Top,90
R11,26.6700mm,59.6900mm,Top,270
R13,41.4102mm,52.1105mm,Top,270
SW1,34.5440mm,49.2760mm,Top,270
SW2,29.4640mm,49.2760mm,Top,270
U1,45.9740mm,5.2070mm,Top,180
U2,27.1120mm,6.9280mm,Top,270
U4,48.0060mm,47.3710mm,Top,180
U6,51.8550mm,14.8590mm,Top,90
U7,16.5100mm,35.5600mm,Top,90
U9,34.8305mm,21.2089mm,Top,180
U10,43.4102mm,55.7962mm,Top,180
X1,47.7090mm,55.5438mm,Top,180
