Altium Designer Pick and Place Locations
E:\aSim Data\Usama Projects\Dock Electronics_v1.0\Design File\Project Outputs for DOCK_ESP32_v1.0\Pick Place for DOCK_ESP32_v1.0.csv

========================================================================================================================
File Design Information:

Date:       26/05/26
Time:       15:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C1","49.8375mm","4.9026mm","TopLayer","0","49.8375mm","4.9026mm","49.3676mm","4.9026mm"
"C2","42.2722mm","4.0817mm","TopLayer","0","42.2722mm","4.0817mm","41.5102mm","4.0817mm"
"C3","42.1961mm","5.7746mm","TopLayer","0","42.1961mm","5.7746mm","41.7262mm","5.7746mm"
"C4","42.1961mm","7.2293mm","TopLayer","0","42.1961mm","7.2293mm","41.7262mm","7.2293mm"
"C5","32.1310mm","14.9674mm","TopLayer","90","32.1310mm","14.9674mm","32.1310mm","13.6974mm"
"C6","35.1790mm","14.9673mm","TopLayer","90","35.1790mm","14.9673mm","35.1790mm","13.6973mm"
"C7","38.1000mm","14.9860mm","TopLayer","270","38.1000mm","14.9860mm","38.1000mm","16.0020mm"
"C8","49.8375mm","6.4860mm","TopLayer","180","49.8375mm","6.4860mm","50.3074mm","6.4860mm"
"C9","27.5844mm","4.1170mm","TopLayer","0","27.5844mm","4.1170mm","27.1145mm","4.1170mm"
"C10","25.6605mm","10.3556mm","TopLayer","180","25.6605mm","10.3556mm","26.4225mm","10.3556mm"
"C11","22.4893mm","12.1727mm","TopLayer","180","22.4893mm","12.1727mm","23.2513mm","12.1727mm"
"C12","22.4891mm","10.3557mm","TopLayer","180","22.4891mm","10.3557mm","23.2511mm","10.3557mm"
"C13","47.1290mm","43.0530mm","TopLayer","90","47.1290mm","43.0530mm","47.1290mm","42.5831mm"
"C14","52.7048mm","46.2450mm","TopLayer","180","52.7048mm","46.2450mm","53.1747mm","46.2450mm"
"C15","52.7050mm","47.4696mm","TopLayer","180","52.7050mm","47.4696mm","53.1749mm","47.4696mm"
"C16","42.1664mm","35.8139mm","TopLayer","270","42.1664mm","35.8139mm","42.1664mm","36.2838mm"
"C17","52.7050mm","44.7040mm","TopLayer","0","52.7050mm","44.7040mm","52.2351mm","44.7040mm"
"C18","43.8150mm","48.6210mm","TopLayer","180","43.8150mm","48.6210mm","44.2849mm","48.6210mm"
"C19","60.5790mm","34.1630mm","TopLayer","180","60.5790mm","34.1630mm","61.5950mm","34.1630mm"
"C20","43.8148mm","47.3710mm","TopLayer","0","43.8148mm","47.3710mm","43.3449mm","47.3710mm"
"C21","54.5536mm","26.6700mm","TopLayer","180","57.7736mm","26.6700mm","57.7736mm","26.6700mm"
"C22","55.8089mm","22.0700mm","TopLayer","0","55.8089mm","22.0700mm","54.7929mm","22.0700mm"
"C23","49.1441mm","17.1414mm","TopLayer","90","49.1441mm","17.1414mm","49.1441mm","16.6715mm"
"C24","47.5486mm","17.1414mm","TopLayer","270","47.5486mm","17.1414mm","47.5486mm","17.9034mm"
"C25","49.1443mm","13.6105mm","TopLayer","90","49.1443mm","13.6105mm","49.1443mm","13.1406mm"
"C26","55.6814mm","11.0490mm","TopLayer","180","55.6814mm","11.0490mm","56.6974mm","11.0490mm"
"C27","55.6814mm","8.5090mm","TopLayer","180","55.6814mm","8.5090mm","56.6974mm","8.5090mm"
"C28","55.1734mm","12.9792mm","TopLayer","0","55.1734mm","12.9792mm","54.7035mm","12.9792mm"
"C30","8.2939mm","23.1266mm","TopLayer","0","8.2939mm","23.1266mm","7.5319mm","23.1266mm"
"C31","8.2939mm","21.4527mm","TopLayer","180","8.2939mm","21.4527mm","9.0559mm","21.4527mm"
"C32","8.2939mm","24.6100mm","TopLayer","180","8.2939mm","24.6100mm","8.7638mm","24.6100mm"
"C33","36.8905mm","49.2890mm","TopLayer","90","36.8905mm","49.2890mm","36.8905mm","48.8191mm"
"C34","11.4201mm","24.6099mm","TopLayer","180","11.4201mm","24.6099mm","11.8900mm","24.6099mm"
"C38","32.0195mm","20.7366mm","TopLayer","270","32.0195mm","20.7366mm","32.0195mm","21.2065mm"
"C39","38.2580mm","22.4065mm","TopLayer","90","38.2580mm","22.4065mm","38.2580mm","21.6445mm"
"C40","40.6588mm","25.7884mm","TopLayer","90","40.6588mm","25.7884mm","40.6588mm","25.0264mm"
